claim_id,research_question,claim_status,claim_text,primary_artifact,supporting_artifacts,supporting_rows,evidence_rule,interpretation_applied
1,Does MAVS-GC reduce variance under corruption?,mixed,Pure MAVS-GC mean corrupted accuracy/F1 variance is 0.0172849; the non-Pure-MAVS comparison mean is 0.0148235.,results/reports/corruption_variance_tables.csv,results/reports/corruption_reproducibility_tables.csv; results/corruption_reproducibility/corruption_execution_manifest.json,"all rows matching the stated metric, family, level, system, and run-mode filters",Compare Pure MAVS-GC mean corrupted accuracy/F1 variance against all non-Pure-MAVS systems for levels greater than 0.0.,The reproducibility effect does not generalize uniformly across stress conditions.
2,Does MAVS-GC preserve prediction stability under corruption?,supported,Pure MAVS-GC mean corrupted prediction_stability is 0.971615; the non-Pure-MAVS comparison mean is 0.952713.,results/reports/corruption_stability_tables.csv,results/figures/prediction_stability_by_corruption.png,"all rows matching the stated metric, family, level, system, and run-mode filters",Compare Pure MAVS-GC mean prediction_stability against non-Pure-MAVS systems for levels greater than 0.0.,Governance contributes to reproducibility under stress.
3,Does MAVS-GC preserve decision stability under corruption?,supported,Pure MAVS-GC mean corrupted decision_stability is 0.97577; the non-Pure-MAVS comparison mean is 0.958762.,results/reports/corruption_stability_tables.csv,results/figures/decision_stability_by_corruption.png,"all rows matching the stated metric, family, level, system, and run-mode filters",Compare Pure MAVS-GC mean decision_stability against non-Pure-MAVS systems for levels greater than 0.0.,Governance contributes to reproducibility under stress.
4,Does MAVS-GC preserve consensus stability under corruption?,supported,Pure MAVS-GC mean corrupted consensus_stability is 0.979332; the non-Pure-MAVS comparison mean is 0.963946.,results/reports/corruption_stability_tables.csv,results/figures/consensus_stability_by_corruption.png,"all rows matching the stated metric, family, level, system, and run-mode filters",Compare Pure MAVS-GC mean consensus_stability against non-Pure-MAVS systems for levels greater than 0.0.,Governance contributes to reproducibility under stress.
5,Does MAVS-GC preserve trace stability under corruption?,supported,Pure MAVS-GC mean corrupted trace stability is 0.967976; Veto MAVS mean corrupted trace stability is 0.959693.,results/reports/corruption_trace_stability_tables.csv,results/figures/trace_stability_by_corruption.png,"all rows matching the stated metric, family, level, system, and run-mode filters",Compare governance trace-stability means for corruption levels greater than 0.0.,Governance contributes to reproducibility under stress.
6,Which corruption families destabilize MAVS-GC most?,supported,The lowest mean prediction stability is observed for `specialist_failure` at 0.959872.,results/reports/corruption_reproducibility_tables.csv,results/reports/corruption_stability_tables.csv,"all rows matching the stated metric, family, level, system, and run-mode filters",Rank corruption families by mean prediction stability for levels greater than 0.0.,"Family-specific destabilization is reported descriptively, not as a universal claim."
7,Which corruption families destabilize baseline systems most?,supported,The lowest mean prediction stability is observed for `specialist_failure` at 0.927823.,results/reports/corruption_reproducibility_tables.csv,results/reports/corruption_stability_tables.csv,"all rows matching the stated metric, family, level, system, and run-mode filters",Rank corruption families by mean prediction stability for levels greater than 0.0.,"Family-specific destabilization is reported descriptively, not as a universal claim."
8,Does MAVS-GC maintain stability by increasing rejection?,supported,Pure MAVS-GC mean rejection under corruption is 0.0231708; the comparison mean is 0.00717495. Pure MAVS-GC decision stability is 0.97577; the comparison mean is 0.958762.,results/reports/corruption_reproducibility_tables.csv,results/reports/corruption_stability_tables.csv,"all rows matching the stated metric, family, level, system, and run-mode filters",Check whether Pure MAVS-GC has higher corrupted rejection while preserving decision stability.,Stability is achieved through a caution tradeoff.
9,Does specialist failure significantly affect reproducibility?,supported,Specialist-failure mean prediction stability is 0.9385; all other corruption families average 0.958743.,results/reports/corruption_reproducibility_tables.csv,results/reports/corruption_stability_tables.csv,"all rows matching the stated metric, family, level, system, and run-mode filters",Compare specialist_failure mean prediction stability against the average of all other corruption families.,Specialist failure is a material reproducibility stressor.
10,Are governance-induced stability effects stronger under corruption than under clean conditions?,supported,Pure MAVS-GC decision-stability delta versus comparison systems is -0.00684573 at level 0.0 and 0.0170086 for levels greater than 0.0.,results/reports/corruption_stability_tables.csv,results/reports/corruption_reproducibility_tables.csv,"all rows matching the stated metric, family, level, system, and run-mode filters",Compare Pure MAVS-GC decision-stability advantage at clean-anchor level 0.0 against the corrupted-level advantage.,MAVS-GC primarily functions as a governance architecture under adverse conditions rather than as a clean-condition reproducibility optimizer.
